"user_id","rec_anime_id"
"304","2284, 2269, 3625"
"305","5753, 31050, 1558"
"306","31050, 1558, 3105"
"307","2818, 2484, 11547"
"308","86, 30915, 2471"
"309","3437, 1924, 2920"
"311","1481, 1853, 2291"
"312","1558, 3105, 4388"
"313","3196, 3854, 13993"
"314","24171, 28869, 22733"
"315","7303, 3868, 1794"
"316","1925, 1923, 1481"
"317","31763, 32553, 28789"
"318","3511, 1839, 6511"
"319","9487, 15839, 2527"
"320","978, 5343, 86"
"321","7334, 10330, 29976"
"322","1924, 1481, 1759"
"323","13993, 14685, 23299"
"324","2947, 17249, 3019"
"327","5753, 2269, 33221"
"329","12725, 2284, 8358"
"330","3437, 8097, 2284"
"331","3437, 2284, 2036"
"332","10263, 17249, 3196"
"333","8097, 832, 1924"
"334","5753, 9487, 15839"
"335","3129, 31050, 1949"
"336","1880, 1421, 311"
"338","10528, 10457, 21597"
"339","1399, 5763, 4503"
"340","86, 4566, 1707"
"341","31050, 1014, 5753"
"342","25431, 24171, 744"
"343","1924, 1399, 2920"
"344","5753, 7303, 14685"
"345","9487, 15839, 1228"
"346","10766, 1640, 1611"
"348","5753, 14685, 930"
"349","1925, 1923, 2200"
"352","3704, 1221, 1573"
"353","2527, 4388, 2780"
"354","11717, 31592, 5967"
"355","30705, 752, 28961"
"356","21575, 33221, 3625"
"357","1924, 14647, 27629"
"358","1153, 22695, 15279"
"359","1558, 2484, 2200"
"360","5753, 3868, 33221"
"361","26183, 1805, 23037"
"362","5753, 927, 28929"
"363","4031, 3776, 2574"
"364","8097, 14647, 27629"
"366","27613, 24273, 31491"
"367","31050, 3437, 1924"
"368","10090, 86, 16442"
"370","31050, 1558, 3105"
"371","10263, 3437, 2747"
"374","10263, 1924, 930"
"375","3129, 9487, 15839"
"376","1924, 8245, 2920"
"377","10263, 3437, 1924"
"378","30825, 2947, 5753"
"379","26183, 2253, 1064"
"380","31050, 24273, 1759"
"382","1558, 3105, 4388"
"383","86, 4566, 1707"
"384","1558, 1853, 2858"
"385","5753, 1794, 295"
"386","10263, 2284, 3854"
"387","1481, 1759, 1221"
"388","23579, 2818, 9549"
"389","10263, 1924, 1925"
"390","1153, 2044, 10359"
"391","23711, 31491, 22695"
"392","1623, 305, 3992"
"394","1399, 33221, 3625"
"395","347, 7435, 7436"
"397","17745, 14647, 33221"
"398","12671, 31490, 9600"
"400","24273, 19633, 7435"
"401","1924, 2920, 1481"
"403","1925, 1923, 599"
"404","3437, 1924, 2920"
"405","10263, 1925, 1923"
"408","28929, 2484, 11547"
"410","3854, 13993, 2747"
"411","5753, 3868, 3854"
"412","2284, 3625, 28961"
"413","2390, 20871, 604"
"415","2322, 2036, 3605"
"416","305, 1224, 5753"
"417","10090, 86, 1573"
"418","23249, 7334, 10330"
"419","10263, 1925, 1923"
"420","5763, 9629, 347"
"421","1380, 25431, 24171"
"422","3129, 2284, 22695"
"423","10263, 1839, 4084"
"424","1924, 2920, 1481"
"426","31491, 2506, 1853"
"428","31050, 14947, 9770"
"429","295, 3129, 16608"
"430","6465, 1845, 11717"
"431","33221, 23299, 10263"
"432","7303, 1153, 3381"
"433","295, 20929, 3826"
"434","1924, 1481, 1853"
"435","8358, 10766, 9629"
"438","311, 693, 1647"
"439","7435, 7436, 347"
"440","1153, 295, 4388"
"441","1399, 693, 2291"
"442","10263, 3437, 8097"
"444","5753, 1623, 1534"
"445","1853, 3704, 23711"
"446","377, 1920, 1922"
"447","1153, 2920, 2527"
"448","693, 2419, 2036"
"449","1924, 1792, 2920"
"450","31490, 377, 32051"
"451","7303, 2736, 10534"
"453","5753, 2269, 1929"
"454","3625, 7435, 7436"
"455","4503, 1853, 4388"
"456","5753, 7303, 3868"
"457","30531, 3254, 3437"
"458","3625, 28961, 10766"
"459","2284, 1153, 3072"
"460","14647, 27629, 1925"
"461","1925, 1923, 3704"
"463","31050, 1558, 1228"
"464","6509, 23115, 3826"
"465","2284, 3196, 1924"
"466","8097, 11717, 31117"
"468","1558, 1179, 1224"
"469","5753, 7303, 295"
"471","2688, 31491, 29413"
"473","2269, 3868, 28961"
"474","12725, 1380, 26019"
"475","1924, 2920, 1481"
"478","2012, 5096, 2816"
"479","1924, 1481, 1558"
"480","2284, 2709, 2747"
"481","5753, 1906, 33221"
"482","1153, 295, 3072"
"483","1792, 3072, 1839"
"484","30243, 13245, 22695"
"485","1924, 1481, 4388"
"486","31592, 5967, 5968"
"487","1925, 1923, 1853"
"488","311, 8358, 294"
"489","3625, 27613, 295"
"490","3625, 2527, 1224"
"491","3196, 3854, 13993"
"492","1623, 5753, 9487"
"494","31050, 1275, 3396"
"495","86, 4566, 1707"
"496","3437, 31491, 1558"
"497","4566, 1658, 5742"
"499","1493, 13993, 1373"
"500","6511, 2291, 2668"
"501","9487, 15839, 15925"
"502","1792, 1153, 8245"
"503","2747, 13619, 3072"
"504","3437, 1493, 1924"
"505","1399, 3072, 2527"
"507","5753, 3868, 3854"
"508","377, 6714, 1082"
"510","5763, 14685, 930"
"511","2291, 1558, 1623"
"512","1845, 2484, 4198"
"513","6293, 7045, 2390"
"514","377, 29876, 32051"
"515","295, 16608, 6293"
"516","23249, 8394, 10263"
"517","3854, 30531, 3129"
"518","5753, 1558, 3105"
"519","305, 2484, 1224"
"520","5753, 10766, 1640"
"521","10263, 1924, 1792"
"522","14685, 13619, 1224"
"523","10457, 21597, 3196"
"524","2106, 2706, 23579"
"525","5753, 31050, 2818"
"527","12503, 20517, 25647"
"528","31050, 1853, 1534"
"529","305, 7334, 10330"
"530","2294, 5712, 1226"
"531","1658, 5742, 8250"
"533","5753, 24273, 19633"
"534","10263, 1925, 1923"
"535","7303, 1924, 22695"
"536","22695, 33221, 28929"
"538","1924, 1481, 4388"
"539","3437, 2947, 8097"
"540","28713, 7334, 10330"
"541","1327, 1558, 1799"
"542","1228, 1558, 1534"
"543","14685, 1153, 3381"
"544","3437, 1493, 2284"
"545","1924, 1481, 1558"
"546","1906, 1300, 2291"
"547","2920, 1481, 1839"
"548","1845, 1853, 1221"
"551","1707, 377, 29876"
"552","1924, 2920, 1481"
"553","6050, 32051, 3868"
"554","33221, 3625, 112"
"555","9875, 1957, 752"
"556","31050, 1900, 2484"
"557","10263, 8097, 832"
"558","3437, 8097, 9328"
"559","978, 1380, 2269"
"560","2110, 25431, 24171"
"561","31050, 1558, 3105"
"562","23249, 86, 8394"
"563","4388, 23711, 12361"
"564","1880, 1792, 1145"
"565","1853, 4084, 3095"
"566","3507, 1880, 978"
"567","2470, 1460, 3776"
"568","1153, 12347, 31491"
"569","3437, 14647, 22695"
"570","28929, 1558, 1224"
"571","1558, 305, 6465"
"572","1399, 4416, 693"
"573","1221, 1864, 28669"
"575","9875, 1417, 13855"
"576","3381, 1839, 3486"
"577","12725, 1380, 26019"
"578","5753, 1558, 4388"
"579","5753, 33221, 1794"
"580","17249, 3019, 1924"
"581","1925, 1923, 305"
"582","1558, 3105, 3625"
"583","21575, 7303, 3196"
"584","3196, 14685, 31491"
"585","1221, 1573, 1864"
"586","2269, 10534, 1929"
"587","8245, 31491, 31050"
"588","4264, 14947, 9770"
"589","22695, 31491, 4147"
"590","2920, 1481, 1759"
"592","3776, 2574, 10263"
"593","28713, 7334, 10330"
"594","5753, 2284, 7303"
"595","1573, 26183, 23725"
"598","1707, 29876, 32051"
"599","28713, 23249, 7334"
"600","2284, 2709, 2747"
"601","31491, 1558, 1179"
"602","1957, 2920, 927"
"604","3437, 3196, 2747"
"605","1399, 5763, 2291"
"606","30531, 3625, 1226"
"607","12725, 8358, 1906"
"608","10263, 3437, 17249"
"610","3259, 305, 1558"
"611","28713, 7334, 10330"
"612","1925, 1923, 1558"
"613","4084, 3776, 2574"
"614","5753, 305, 930"
"615","32574, 1442, 2745"
"617","3776, 2574, 5753"
"618","1558, 3105, 4388"
"619","1558, 3105, 2484"
"620","31050, 3776, 2574"
"622","12725, 1380, 347"
"623","10263, 3437, 1925"
"624","3437, 1493, 3196"
"625","10534, 2920, 31491"
"626","1558, 1925, 1923"
"627","1399, 1560, 3507"
"628","3196, 5267, 17745"
"629","3101, 1640, 1191"
"630","1925, 1923, 1839"
"631","17873, 16442, 9737"
"632","8097, 832, 5267"
"633","3625, 2072, 3003"
"634","7303, 1853, 2291"
"635","10263, 14685, 6465"
"636","4388, 3704, 3776"
"637","305, 3704, 978"
"638","2269, 3868, 3625"
"639","1399, 13619, 33074"
"640","8097, 14647, 27629"
"641","3196, 17745, 30531"
"642","2390, 1221, 1573"
"643","1924, 22695, 1481"
"644","1792, 2322, 7723"
"645","8097, 832, 13993"
"646","5753, 1534, 305"
"647","7303, 22695, 1853"
"648","5753, 3868, 3854"
"649","1792, 1925, 2920"
"650","14647, 1399, 27629"
"652","5753, 33221, 295"
"653","1924, 1481, 3072"
"654","2322, 9487, 15839"
"655","5753, 1925, 1923"
"656","31117, 305, 3704"
"657","1380, 6460, 347"
"658","1221, 3437, 8097"
"659","978, 1380, 7861"
"660","29876, 32051, 6714"
"661","8837, 2285, 1647"
"662","28713, 23249, 7334"
"663","8245, 1794, 3511"
"664","28929, 332, 4962"
"665","31050, 1558, 2036"
"666","1925, 1923, 1839"
"667","2747, 1399, 4503"
"668","3776, 2574, 1275"
"669","5753, 1925, 1923"
"670","10810, 2713, 30364"
"671","8097, 2525, 2736"
"672","5753, 3854, 14685"
"673","3196, 22695, 2920"
"674","1493, 14647, 22695"
"675","1880, 2322, 1929"
"677","22695, 1153, 2688"
"679","2284, 314, 8358"
"680","718, 4416, 5967"
"681","33221, 1153, 21591"
"682","32051, 32553, 718"
"683","832, 2284, 21575"
"686","2012, 23249, 27411"
"687","28713, 23249, 7334"
"688","1558, 2484, 3259"
"689","86, 4566, 1707"
"690","10263, 1792, 1925"
"691","693, 1925, 1923"
"693","2506, 1853, 2044"
"694","3507, 1380, 7861"
"695","1186, 971, 3101"
"696","3437, 2947, 832"
"697","12725, 16442, 2598"
"699","2747, 2322, 9487"
"700","3437, 8097, 1493"
"701","693, 2291, 2292"
"702","5753, 1925, 1923"
"703","1399, 5763, 1560"
"704","1567, 32034, 2291"
"705","2284, 6465, 1224"
"707","4388, 3776, 2574"
"708","3437, 1493, 3196"
"709","10263, 1924, 930"
"710","1558, 1623, 305"
"711","3437, 17249, 2284"
"712","311, 8358, 22695"
"714","2390, 2570, 1517"
"715","2284, 3254, 8361"
"716","22695, 33221, 28929"
"717","3196, 3854, 13993"
"718","86, 4566, 1707"
"719","582, 311, 2570"
"720","11717, 1493, 10534"
"722","1558, 3105, 1925"
"723","1924, 1153, 13619"
"724","1224, 1623, 3259"
"725","5753, 7303, 33221"
"726","3196, 22695, 2920"
"727","2947, 9487, 15839"
"728","86, 1707, 377"
"730","10263, 7303, 1399"
"731","3196, 3854, 13993"
"732","9328, 1792, 31491"
"733","5753, 31050, 1224"
"734","1906, 3227, 1900"
"735","2484, 305, 5753"
"736","3437, 1924, 1481"
"738","12725, 2677, 10199"
"740","1924, 1481, 1558"
"741","10766, 1534, 2322"
"742","21575, 17745, 14647"
"743","1925, 1923, 1853"
"744","13047, 2291, 12671"
"748","2284, 3868, 1148"
"750","31050, 1558, 3105"
"751","1925, 1923, 4503"
"752","1924, 2920, 1481"
"753","25429, 4037, 1252"
"754","1924, 1481, 3129"
"755","33221, 28929, 10766"
"756","1493, 2284, 2525"
"757","1153, 8245, 6465"
"758","31050, 5753, 7303"
"759","305, 1924, 1481"
"762","86, 377, 2269"
"763","3625, 599, 3507"
"764","30243, 13245, 22695"
"766","2525, 2042, 1098"
"767","1493, 22695, 33221"
"768","25429, 27411, 31680"
"769","10263, 24713, 16680"
"770","978, 2269, 1906"
"771","1558, 4388, 12361"
"772","7303, 1924, 1481"
"773","2920, 1558, 4388"
"774","3625, 2322, 1481"
"775","3605, 1924, 1481"
"776","86, 4566, 1707"
"777","2269, 1906, 1399"
"778","1924, 1481, 1558"
"779","2947, 832, 2525"
"782","1558, 3105, 4031"
"783","3507, 7861, 1658"
"784","7861, 890, 3507"
"786","28713, 7334, 10330"
"787","6465, 5753, 2269"
"788","12725, 10263, 1380"
"789","3437, 1792, 1925"
"790","33221, 10766, 6465"
"791","5763, 2291, 7664"
"792","1853, 2858, 4388"
"793","31592, 12671, 6050"
"794","9487, 15839, 3511"
"796","1839, 4084, 3095"
"797","5753, 31050, 1558"
"798","31490, 15045, 23777"
"799","10457, 21597, 1792"
"800","30825, 10528, 1493"
"801","6286, 31050, 1421"
"802","1880, 3254, 12725"
"803","1179, 2818, 2535"
"804","12725, 31490, 16442"
"806","377, 32051, 26359"
"807","2269, 1929, 28929"
"808","2269, 1399, 25431"
"809","5753, 1558, 1224"
"810","2269, 10534, 1929"
"812","9328, 16419, 33902"
"813","718, 744, 5877"
"814","3704, 3507, 2291"
"815","6293, 7303, 1399"
"816","5753, 295, 1623"
"817","2284, 1153, 1224"
"818","30705, 13993, 6986"
"819","86, 31490, 16442"
"820","7303, 5877, 1925"
"824","30705, 708, 2525"
"825","305, 4503, 1759"
"826","1853, 10263, 34085"
"827","7303, 3381, 3511"
"828","3196, 3854, 13993"
"829","3381, 3511, 2291"
"830","9328, 33221, 1792"
"832","2284, 14685, 1153"
"833","5763, 1560, 1399"
"834","12725, 26019, 2688"
"835","1924, 2920, 1481"
"836","8245, 28929, 5164"
"837","86, 4566, 1707"
"838","305, 1853, 31050"
"839","24171, 1929, 12725"
"840","1153, 3381, 3511"
"841","5753, 9328, 21575"
"842","30243, 11679, 752"
"843","1179, 2818, 1845"
"845","3196, 3854, 2747"
"846","1839, 6293, 31117"
"847","9487, 15839, 19857"
"848","12725, 24171, 17249"
"849","832, 2747, 1399"
"850","752, 9328, 13245"
"851","86, 1186, 18989"
"852","33221, 3625, 34085"
"853","2525, 21575, 3196"
"854","1924, 1481, 1558"
"855","17249, 28929, 1872"
"856","10263, 3437, 1924"
"857","2928, 6050, 30991"
"858","10263, 3437, 1924"
"860","3437, 5753, 2269"
"861","3704, 9487, 15839"
"862","999, 5684, 2736"
"866","10263, 2920, 3072"
"868","1925, 1923, 1839"
"869","10263, 8245, 2322"
"871","2871, 8394, 5967"
"872","1558, 3105, 4388"
"873","1493, 2284, 2525"
"874","1153, 8245, 6465"
"875","2947, 832, 2525"
"876","33221, 31050, 32034"
"878","5753, 1534, 3259"
"879","86, 10263, 1573"
"880","1925, 2920, 1923"
"881","22695, 24273, 30531"
"882","10263, 3019, 3868"
"883","311, 1399, 294"
"885","10263, 1792, 1925"
"886","1924, 2322, 1481"
"887","5753, 1898, 6509"
"888","2036, 14543, 6465"
"890","33221, 1270, 6511"
"891","978, 1380, 23293"
"892","12221, 23579, 4475"
"893","28713, 7334, 10330"
"895","1493, 2525, 21575"
"896","3437, 5753, 8097"
"897","1153, 6465, 1853"
"899","5753, 1534, 305"
"900","1493, 22695, 24273"
"901","1153, 3511, 1839"
"902","8245, 22013, 31491"
"903","3437, 3019, 8097"
"904","1558, 4388, 1924"
"905","3196, 1925, 1923"
"906","31491, 2527, 4388"
"907","1558, 2858, 3105"
"908","13145, 890, 1382"
"909","1558, 1179, 3105"
"910","1179, 31050, 1558"
"911","1845, 305, 3704"
"912","3625, 1558, 3105"
"913","2291, 3507, 978"
"914","2012, 1221, 8394"
"916","971, 2450, 5096"
"917","10263, 31592, 1957"
"918","2525, 13245, 2648"
"919","1558, 3105, 4388"
"920","305, 5753, 3868"
"922","1924, 1481, 3072"
"923","7303, 2269, 1906"
"926","2291, 4416, 4566"
"927","10263, 8097, 21575"
"929","1924, 1481, 1558"
"930","1558, 3105, 1179"
"931","31117, 5753, 7303"
"932","5753, 1558, 3105"
"933","3868, 3625, 4503"
"934","86, 1707, 377"
"935","3072, 1558, 1179"
"936","971, 1019, 26359"
"937","1558, 1924, 1481"
"938","31050, 3776, 2574"
"941","86, 1707, 377"
"942","3625, 13619, 3129"
"943","2903, 1019, 26359"
"944","17745, 6509, 2506"
"945","1924, 1481, 1759"
"946","305, 3704, 2291"
"947","7303, 1924, 1481"
"948","2920, 3072, 1558"
"949","3196, 5267, 17745"
"950","693, 2291, 5763"
"951","764, 3059, 604"
"952","25431, 9629, 1270"
"954","311, 1929, 294"
"955","10263, 1924, 1153"
"956","7435, 7436, 9487"
"957","10263, 5753, 33221"
"958","86, 1346, 1081"
"961","6741, 2067, 1625"
"962","1925, 1923, 3129"
"963","1925, 1923, 693"
"964","5753, 7303, 3868"
"966","10263, 3704, 1792"
"967","8097, 3239, 2036"
"968","10263, 1924, 1925"
"969","5753, 7303, 930"
"970","14647, 27629, 3625"
"972","3437, 8097, 1493"
"973","17249, 22695, 1853"
"975","5753, 2284, 33221"
"976","1560, 4416, 693"
"977","26183, 718, 2253"
"978","3437, 11867, 311"
"979","86, 2109, 13931"
"980","1845, 6465, 112"
"981","1611, 3254, 3776"
"982","1924, 2920, 1481"
"983","4443, 10528, 13245"
"985","1493, 13993, 5290"
"986","3437, 8097, 2284"
"987","1558, 3105, 2484"
"988","8245, 30531, 22013"
"989","3437, 8097, 1493"
"990","5753, 10766, 1640"
"991","2269, 1906, 3625"
"992","311, 8358, 294"
"993","4388, 1534, 1012"
"994","7303, 1853, 307"
"995","1481, 1558, 3105"
"996","30915, 28669, 25313"
"997","1558, 3105, 4388"
"998","15045, 8245, 10370"
"999","10263, 2284, 33221"
"1001","9328, 1792, 31491"
"1002","1221, 1567, 2450"
"1003","12725, 1380, 25431"
"1004","2284, 305, 3704"
"1005","8394, 16442, 978"
"1006","5967, 5968, 23293"
"1009","5753, 2269, 1906"
"1010","10263, 1924, 1792"
"1011","9487, 3129, 15839"
"1012","14685, 2322, 31050"
"1013","4503, 2858, 4388"
"1014","1145, 24273, 19633"
"1015","3507, 10766, 1558"
"1016","3019, 17745, 295"
"1017","2284, 7303, 3868"
"1018","1924, 27613, 1481"
"1019","1924, 1481, 1558"
"1020","5753, 1558, 1228"
"1021","27613, 12585, 1759"
"1022","6509, 23115, 3826"
"1023","31050, 10263, 1792"
"1024","8358, 1929, 1399"
"1025","693, 13047, 3507"
"1026","1558, 3776, 2574"
"1027","2525, 21575, 3196"
"1028","32051, 685, 16442"
"1029","10263, 1493, 2284"
"1030","31050, 1558, 1179"
"1031","4566, 718, 8017"
"1032","2527, 3511, 3239"
"1033","33221, 5763, 1560"
"1034","5753, 1558, 1623"
"1035","2525, 9328, 17745"
"1036","1925, 1923, 3381"
"1037","8245, 3072, 6465"
"1039","10263, 10457, 21597"
"1040","1558, 11687, 1481"
"1041","1925, 2920, 1923"
"1042","1925, 1923, 3095"
"1043","832, 2291, 2292"
"1044","1380, 718, 3157"
"1045","3437, 17249, 3019"
"1047","10263, 1924, 1792"
"1048","3196, 6465, 31592"
"1049","2291, 2920, 4503"
"1050","2947, 2747, 9487"
"1051","1853, 1558, 3105"
"1053","1558, 1925, 1923"
"1055","13245, 5658, 4385"
"1056","1924, 1481, 3072"
"1058","377, 20743, 3507"
"1059","86, 1707, 377"
"1060","832, 2291, 6511"
"1061","7334, 10330, 12231"
"1062","16608, 708, 21703"
"1063","8097, 14647, 2450"
"1064","2269, 3868, 3625"
"1065","1925, 1923, 1853"
"1066","33221, 1924, 1481"
"1067","1399, 3625, 1534"
"1068","1792, 2322, 7723"
"1069","3437, 1925, 1923"
"1070","295, 6511, 1228"
"1072","832, 1399, 5763"
"1073","6465, 7664, 31491"
"1074","86, 377, 29876"
"1075","1493, 14647, 22695"
"1076","4388, 3776, 2574"
"1077","1558, 3105, 3254"
"1078","1925, 1923, 4503"
"1079","3196, 3854, 13993"
"1080","832, 1759, 1275"
"1081","5753, 1380, 347"
"1082","1924, 13619, 1481"
"1083","1399, 5763, 7664"
"1084","3259, 5753, 1221"
"1085","23787, 6890, 2027"
"1086","5753, 9487, 15839"
"1087","3129, 31491, 3776"
"1088","7303, 3868, 3854"
"1089","27613, 24273, 3381"
"1090","305, 1924, 1481"
"1091","6286, 31050, 2818"
"1093","10263, 1493, 22695"
"1095","10263, 1924, 930"
